username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
KAJAL_PARIKH,1,5,0,4,6,16,0,0,0,0,0,0,0,0,0.0
21f3002441,0,4,0,1,2,1,0,1,0,0,0,0,0,0,0.0
Vying,0,11,0,1,7,2,1,0,0,0,0,0,0,0,0.0
23ds1000133,9,18,0,11,16,26,0,0,0,0,0,0,0,0,0.0
22f2000927,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
23ds2000038,23,10,0,1,14,8,0,0,0,0,0,0,0,0,1.0
Nivi,7,1,0,1,3,3,0,0,0,0,0,0,0,0,0.0
Nik0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Utkarsh_Shukla,5,5,0,1,0,44,0,0,0,0,0,0,0,0,0.0
22f3000517,0,4,0,2,5,7,0,0,0,0,0,0,0,0,0.0
23ds3000205,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0.0
Rajaram,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0
sayan,5,15,0,2,3,6,2,0,0,0,0,1,0,0,1.0
NERO,1,8,0,2,18,7,3,1,0,0,0,2,0,0,2.0
22f2000861,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0.0
22f3002427,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23f1002602,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0.0
D_HARSHITHA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
sanam,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0.0
22ds3000027,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
21f2001203,0,1,0,1,5,4,0,0,0,0,0,0,0,0,0.0
Puneet_21f3002005,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
gkthenayil,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0.0
23ds2000103,15,5,0,0,10,3,0,0,0,0,0,0,0,0,0.0
SHEWALE_PRATIK_POPAT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23f1003177,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0.0
23ds3000183,0,4,0,1,8,27,0,0,0,0,0,0,0,0,0.0
21f3002097,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f3002176,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
PremKumarGupta,1,34,0,2,87,43,4,1,1,0,0,4,0,0,7.0
22f1001118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Nithish_Kumar,36,11,0,0,69,25,16,0,31,0,0,5,0,0,7.0
21f3003179,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0.0
nakshatra,2,1,0,2,4,6,0,0,0,0,0,0,0,0,0.0
student2,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0.0
muthun,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
22f3000061,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0.0
22f3001104,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0.0
Polaris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Rajeev_kumar_bhagat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
pratimB,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0.0
harshil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23f1003142,1,2,0,1,2,3,0,0,0,0,0,0,0,0,0.0
22f1001023,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
samar,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
T0d0r0k1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0.0
Hitesh,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.0
23ds3000204,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Arun2,10,8,0,0,7,7,0,0,0,0,0,1,0,0,1.0
GKay,6,39,0,3,47,43,7,0,0,0,0,4,0,0,4.0
Aerobender,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
22f2001624,5,14,0,5,12,17,2,0,0,0,0,0,0,0,0.0
23f2005056,0,10,0,6,8,7,0,0,0,0,0,0,0,0,0.0
Nil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
