username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
Prabuddh_Mathur,2,4,0,1,0,10,1,0,0,0,0,0,0,0,0.0
riyatom,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Aniruddan22,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0
22f3002507,19,8,0,5,9,11,0,0,0,0,0,1,0,0,1.0
21f3001189,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0
22f3002744,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.0
21f3001844,0,1,0,2,2,5,0,0,0,0,0,0,0,0,0.0
Dheeraj_9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.0
Ajeesh,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
21f3002305,0,1,0,25,23,46,3,0,0,0,0,0,0,0,0.0
Vijayvm,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
royce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
dev_22f2000888,3,25,0,3,69,28,4,1,0,0,0,9,0,0,10.0
Yugendra_Kesineni,0,3,0,1,2,4,0,0,0,0,0,0,0,0,0.0
dhanya10,0,7,0,0,7,4,34,0,0,0,0,2,0,0,3.0
PraveenU,1,0,0,1,7,9,0,0,0,0,0,0,0,0,0.0
22f3003192,7,3,0,0,5,4,0,0,0,0,0,0,0,0,0.0
TanishaA,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.0
Pawan,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
21f2000585,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
22f1000823,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
23f1001441,16,1,0,0,1,2,0,0,0,0,0,0,0,0,0.0
21f1000323,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
22f3002350,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0.0
jaidevd,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
22f2001659,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0.0
theknight,0,5,0,0,1,0,0,0,0,0,0,1,0,0,1.0
22f2000627,11,4,0,8,11,16,0,0,0,0,0,0,0,0,0.0
22f3000061,7,0,0,3,10,12,0,0,0,0,0,1,0,0,1.0
22f2001624,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0.0
MohammadAban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PremKumarGupta,1,26,0,1,88,35,7,0,0,0,0,11,0,0,12.0
Namrata,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f2000818,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0.0
TusharVerma,5,6,0,3,5,1,0,0,0,0,0,0,0,0,0.0
Jivraj,7,4,0,5,13,10,0,0,0,0,0,0,0,0,1.0
AkashV,2,1,0,3,15,9,0,0,0,0,0,0,0,0,0.0
BalaM17,2,2,0,13,4,22,1,0,0,0,0,0,0,0,0.0
21f2000243,4,8,0,3,2,11,0,0,0,0,0,0,0,0,0.0
21f3001994,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Gotherwal,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0.0
Unrael,4,3,0,1,13,8,0,0,0,0,0,0,0,0,0.0
ADI_1792,1,0,0,2,1,8,2,0,0,0,0,0,0,0,0.0
22f2001362,12,12,0,12,37,31,1,0,2,0,0,0,0,0,0.0
23ds3000235,0,1,0,1,7,7,0,0,0,0,0,0,0,0,0.0
