username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
22ds3000181,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0.0
pat_sama,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
22f3002867,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
sushmitha,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0.0
23f1000917,2,3,0,0,6,3,2,0,0,0,0,1,0,0,1.0
23f3003996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
gNIKHIL,13,28,0,0,26,10,4,1,0,0,0,6,0,0,7.0
23f3003994,5,1,0,6,7,10,1,0,0,0,0,0,0,0,0.0
23f3003486,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Saad,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
adarsh056,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Abhist.jain,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23f1000966,1,3,0,1,11,6,1,0,0,0,0,0,0,0,0.0
22f3001797,6,3,0,4,6,9,0,0,0,0,0,0,0,0,0.0
23f2001158,0,1,0,0,6,7,0,0,0,0,0,0,0,0,0.0
Puneet-IITM,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
24ds1000049,1,1,0,1,0,10,0,0,0,0,0,0,0,0,0.0
22f3003227,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0.0
23f1003034,3,1,0,1,1,4,0,0,0,0,0,0,0,0,0.0
23f2002232,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0.0
23f2000573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23f2001742,0,0,0,21,8,21,2,0,0,0,0,0,0,0,0.0
